FromStratumID,FromSecondaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToAgeMin,ToStockTypeID,StateAttributeTypeID,FlowTypeID,Multiplier
NA,NA,Forest: Pinyon/Juniper Group,27,Atmosphere,27,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1574
NA,NA,Forest: Pinyon/Juniper Group,27,Atmosphere,27,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0507
NA,NA,Forest: Pinyon/Juniper Group,27,Atmosphere,27,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.3967
NA,NA,Forest: Pinyon/Juniper Group,28,Atmosphere,28,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0659
NA,NA,Forest: Pinyon/Juniper Group,28,Atmosphere,28,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3319
NA,NA,Forest: Pinyon/Juniper Group,28,Atmosphere,28,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1567
NA,NA,Forest: Pinyon/Juniper Group,28,Atmosphere,28,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0525
NA,NA,Forest: Pinyon/Juniper Group,28,Atmosphere,28,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.3931
NA,NA,Forest: Pinyon/Juniper Group,29,Atmosphere,29,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0654
NA,NA,Forest: Pinyon/Juniper Group,29,Atmosphere,29,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3349
NA,NA,Forest: Pinyon/Juniper Group,29,Atmosphere,29,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.156
