Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2021,Placer,Urbanization,331.16651043181815,Normal,Timestep and iteration,235.2519656394581,89.52758009090908,738.2318801636363
2031,Placer,Urbanization,352.53209175,Normal,Timestep and iteration,250.42951180974572,95.30355300000001,785.8597434
2041,Placer,Urbanization,331.16651043181815,Normal,Timestep and iteration,235.2519656394581,89.52758009090908,738.2318801636363
2051,Placer,Urbanization,267.0697664772727,Normal,Timestep and iteration,189.71932712859524,72.19966136363637,595.3482904545455
2061,Placer,Urbanization,224.3386038409091,Normal,Timestep and iteration,159.36423478802,60.64771554545455,500.0925639818182
2071,Placer,Urbanization,170.92465054545457,Normal,Timestep and iteration,121.42036936230097,46.20778327272728,381.02290589090916
2081,Placer,Urbanization,74.77953461363636,Normal,Timestep and iteration,53.121411596006666,20.21590518181818,166.6975213272727
2091,Placer,Urbanization,21.36558131818182,Normal,Timestep and iteration,15.177546170287622,5.77597290909091,47.627863236363645
2017,Plumas,Urbanization,0,Normal,Timestep and iteration,0,0,0
2021,Plumas,Urbanization,0,Normal,Timestep and iteration,0,0,0
2031,Plumas,Urbanization,0,Normal,Timestep and iteration,0,0,0
