SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Modoc,2017,Management: Forest Clearcut [Type],1692.8398923706623,Normal,Iteration and Timestep,1364.208739362145
Modoc,2021,Management: Forest Clearcut [Type],2258.3703384091714,Normal,Iteration and Timestep,1819.952711570108
Modoc,2031,Management: Forest Clearcut [Type],2344.6535905410833,Normal,Iteration and Timestep,1889.4857885902286
Modoc,2041,Management: Forest Clearcut [Type],2563.175305179512,Normal,Iteration and Timestep,2065.585864086838
Modoc,2051,Management: Forest Clearcut [Type],2436.564011290294,Normal,Iteration and Timestep,1963.5536315029653
Modoc,2061,Management: Forest Clearcut [Type],2143.01338175455,Normal,Iteration and Timestep,1726.9900107714686
Modoc,2071,Management: Forest Clearcut [Type],1820.389047696097,Normal,Iteration and Timestep,1466.9967662614533
Modoc,2081,Management: Forest Clearcut [Type],1676.8962479549828,Normal,Iteration and Timestep,1351.3602359997315
Modoc,2091,Management: Forest Clearcut [Type],1334.5768237359846,Normal,Iteration and Timestep,1075.4953108655582
Mono,2017,Management: Forest Clearcut [Type],470.53377200079103,Normal,Iteration and Timestep,373.70030882363216
Mono,2021,Management: Forest Clearcut [Type],627.7259407079805,Normal,Iteration and Timestep,498.54312667440786
Mono,2031,Management: Forest Clearcut [Type],651.7088254858602,Normal,Iteration and Timestep,517.5904554343936
Mono,2041,Management: Forest Clearcut [Type],712.4480880211423,Normal,Iteration and Timestep,565.829885880879
Mono,2051,Management: Forest Clearcut [Type],677.2558114449059,Normal,Iteration and Timestep,537.8800012874218
Mono,2061,Management: Forest Clearcut [Type],595.6618664940762,Normal,Iteration and Timestep,473.07767626703566
Mono,2071,Management: Forest Clearcut [Type],505.9867321072218,Normal,Iteration and Timestep,401.8572295992631
Mono,2081,Management: Forest Clearcut [Type],466.10215198748716,Normal,Iteration and Timestep,370.18069372667827
Mono,2091,Management: Forest Clearcut [Type],370.95266346655166,Normal,Iteration and Timestep,294.61248723325684
Monterey,2017,Management: Forest Clearcut [Type],48.6759074483577,Normal,Iteration and Timestep,95.90948605196697
Monterey,2021,Management: Forest Clearcut [Type],64.93716628013591,Normal,Iteration and Timestep,127.95016200173764
Monterey,2031,Management: Forest Clearcut [Type],67.41815436060622,Normal,Iteration and Timestep,132.83862334067447
Monterey,2041,Management: Forest Clearcut [Type],73.70152634701472,Normal,Iteration and Timestep,145.21918303602533
Monterey,2051,Management: Forest Clearcut [Type],70.06094601154199,Normal,Iteration and Timestep,138.0458973756289
Monterey,2061,Management: Forest Clearcut [Type],61.62019308559409,Normal,Iteration and Timestep,121.41450173337645
Monterey,2071,Management: Forest Clearcut [Type],52.34345504557467,Normal,Iteration and Timestep,103.13590716169965
Monterey,2081,Management: Forest Clearcut [Type],48.217463998705576,Normal,Iteration and Timestep,95.00618341325037
Monterey,2091,Management: Forest Clearcut [Type],38.37441346205706,Normal,Iteration and Timestep,75.61174440551191
Napa,2017,Management: Forest Clearcut [Type],75.71807825300085,Normal,Iteration and Timestep,62.96342206505668
Napa,2021,Management: Forest Clearcut [Type],101.01336976910031,Normal,Iteration and Timestep,83.99773979648559
Napa,2031,Management: Forest Clearcut [Type],104.87268456094301,Normal,Iteration and Timestep,87.20695576877657
Napa,2041,Management: Forest Clearcut [Type],114.64681876202289,Normal,Iteration and Timestep,95.33464404642653
Napa,2051,Management: Forest Clearcut [Type],108.98369379573198,Normal,Iteration and Timestep,90.6254684349126
Napa,2061,Management: Forest Clearcut [Type],95.8536336887019,Normal,Iteration and Timestep,79.70715757266177
Napa,2071,Management: Forest Clearcut [Type],81.42315229311615,Normal,Iteration and Timestep,67.70748045887812
Napa,2081,Management: Forest Clearcut [Type],75.00494399798644,Normal,Iteration and Timestep,62.370414765829
Napa,2091,Management: Forest Clearcut [Type],59.69353205208876,Normal,Iteration and Timestep,49.63819922358763
Nevada,2017,Management: Forest Clearcut [Type],767.997650851866,Normal,Iteration and Timestep,489.4874593033364
Nevada,2021,Management: Forest Clearcut [Type],1024.5641790865889,Normal,Iteration and Timestep,653.011524655088
Nevada,2031,Management: Forest Clearcut [Type],1063.708657689565,Normal,Iteration and Timestep,677.9604699492194
Nevada,2041,Management: Forest Clearcut [Type],1162.8463045862322,Normal,Iteration and Timestep,741.1463857484865
Nevada,2051,Management: Forest Clearcut [Type],1105.4060370709958,Normal,Iteration and Timestep,704.5365203712287
Nevada,2061,Management: Forest Clearcut [Type],972.2297131282623,Normal,Iteration and Timestep,619.6558695335864
Nevada,2071,Management: Forest Clearcut [Type],825.8634018301782,Normal,Iteration and Timestep,526.3685088685738
Nevada,2081,Management: Forest Clearcut [Type],760.7644319795769,Normal,Iteration and Timestep,484.87732810768165
Nevada,2091,Management: Forest Clearcut [Type],605.4629679569005,Normal,Iteration and Timestep,385.8950994950957
Orange,2017,Management: Forest Clearcut [Type],37.85903912650043,Normal,Iteration and Timestep,67.93232415904977
Orange,2021,Management: Forest Clearcut [Type],50.506684884550154,Normal,Iteration and Timestep,90.6266130609373
