Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2021,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2031,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2041,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2051,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2061,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2071,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2081,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2091,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2017,Mono,Ag Expansion,0.1,Normal,Iteration and Timestep,0.05,0,0.2
2021,Mono,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2031,Mono,Ag Expansion,0.2,Normal,Iteration and Timestep,0.1,0,0.4
2041,Mono,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2051,Mono,Ag Expansion,0.1,Normal,Iteration and Timestep,0.05,0,0.2
2061,Mono,Ag Expansion,0.1,Normal,Iteration and Timestep,0.05,0,0.2
2071,Mono,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2081,Mono,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2091,Mono,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2017,Monterey,Ag Expansion,1014.0404782463769,Normal,Iteration and Timestep,1229.9564371556885,212.58331530434782,4742.849539826087
2021,Monterey,Ag Expansion,1593.4921801014495,Normal,Iteration and Timestep,1932.788686958939,334.0594954782609,7453.049276869566
2031,Monterey,Ag Expansion,1557.2764487355073,Normal,Iteration and Timestep,1888.8616713462357,326.4672342173913,7283.661793304348
2041,Monterey,Ag Expansion,2100.5124192246376,Normal,Iteration and Timestep,2547.766905536783,440.3511531304348,9824.474046782609
2051,Monterey,Ag Expansion,2028.0809564927538,Normal,Iteration and Timestep,2459.912874311377,425.16663060869564,9485.699079652173
2061,Monterey,Ag Expansion,2028.0809564927538,Normal,Iteration and Timestep,2459.912874311377,425.16663060869564,9485.699079652173
2071,Monterey,Ag Expansion,1303.7663291739132,Normal,Iteration and Timestep,1581.3725620573136,273.3214053913043,6097.949408347826
2081,Monterey,Ag Expansion,941.6090155144929,Normal,Iteration and Timestep,1142.1024059302822,197.39879278260872,4404.074572695652
2091,Monterey,Ag Expansion,832.9618214166667,Normal,Iteration and Timestep,1010.3213590921725,174.622009,3895.9121219999997
2017,Napa,Ag Expansion,142.0616479166667,Normal,Iteration and Timestep,192.76861013199192,29.114909444444443,739.0016011111112
2021,Napa,Ag Expansion,426.18494375,Normal,Iteration and Timestep,578.3058303959757,87.34472833333332,2217.0048033333333
2031,Napa,Ag Expansion,340.947955,Normal,Iteration and Timestep,462.64466431678056,69.87578266666665,1773.6038426666667
2041,Napa,Ag Expansion,255.71096625,Normal,Iteration and Timestep,346.9834982375854,52.406836999999996,1330.202882
2051,Napa,Ag Expansion,511.4219325,Normal,Iteration and Timestep,693.9669964751708,104.81367399999999,2660.405764
2061,Napa,Ag Expansion,483.00960291666667,Normal,Iteration and Timestep,655.4132744487724,98.9906921111111,2512.605443777778
2071,Napa,Ag Expansion,454.59727333333336,Normal,Iteration and Timestep,616.8595524223741,93.16771022222223,2364.805123555556
2081,Napa,Ag Expansion,426.18494375,Normal,Iteration and Timestep,578.3058303959757,87.34472833333332,2217.0048033333333
2091,Napa,Ag Expansion,511.4219325,Normal,Iteration and Timestep,693.9669964751708,104.81367399999999,2660.405764
2017,Nevada,Ag Expansion,50.567072184615384,Normal,Iteration and Timestep,67.80432435858887,0.1618744,245.23971600000002
2021,Nevada,Ag Expansion,75.85060827692307,Normal,Iteration and Timestep,101.70648653788331,0.2428116,367.859574
2031,Nevada,Ag Expansion,18.962652069230767,Normal,Iteration and Timestep,25.426621634470827,0.0607029,91.9648935
